Date,Source,HeadLine
26/02/56,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
22/02/56,ทันหุ้น,ESTARเปิดเกมขายที่ดินพันไร่ ทุนไทย-เทศรุมซื้อ-เป้า1.80บ.
15/02/56,ทันหุ้น,"ESTARยอดขายทะลุเป้า3.1พันล.ตั้งงบซื้อที่1,200ล.-ผุดคอนโดหรู"
22/01/56,ทันหุ้น,"คอลัมน์ บาดตาเซียน: ESTAR...ก็เป็นหุ้น ""มีเส้นดี"" อีกเช่นกัน"
18/01/56,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
25/12/55,ทันหุ้น,ESTARจ่อบุ๊กรายได้2.8พันล้าน กูรูส่องปีหน้าธุรกิจสดใสเป้า1บ.
21/12/55,ทันหุ้น,คอลัมน์ คุยกันหลังกระดาน: หุ้นซุปเปอร์จิ๋ว120 ตัวร้อย Reborn
12/12/55,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
04/12/55,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
02/11/55,ทันหุ้น,"""ESTAR""ปีหน้าเทิร์นอะราวนด์ รุกเปิดโครงการ4-5พันล้าน"
18/10/55,ทันหุ้น,'ESTAR'ปีหน้าพลิกกำไร เปิดโครงการ4-5พันล้าน
17/10/55,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
15/10/55,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
18/09/55,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
11/09/55,ทันหุ้น,คอลัมน์ บาดตาเซียน: ยังน่าจะอยู่ในรอบของ Rebound ต่อเนื่อง...
27/07/55,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
14/06/55,ทันหุ้น,คอลัมน์ จับชีพจรหุ้นร้อน
28/05/55,ทันหุ้น,คอลัมน์ เด็กแนว''เล่าหุ้น''
10/05/55,ทันหุ้น,"เด็กแนว""เล่าหุ้น"""
12/04/55,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
10/04/55,ทันหุ้น,คอลัมน์ TECHNICAL เชิงกลยุทธ์: ขอเสี่ยงเดาว่า น่าจะมีการทำ...
05/04/55,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
30/03/55,ทันหุ้น,ESTARปิดดีลขายที่ดิน600ไร่ Q1สดใส-ผุดโครงการ20แห่ง
02/03/55,ทันหุ้น,"'ESTAR'ทุ่มงบซื้อที่ดิน580ล้าน ผุดโครงการใหม่2,300ล้านบาท"
17/02/55,ทันหุ้น,"คอลัมน์ เจาะเทคนิคหุ้นเด่น: ""ไม่บวก""ก็""ไม่เล่น(สั้นๆ)"""
13/02/55,ทันหุ้น,คอลัมน์ บาดตาเซียน: วันนี้ ขอดูหุ้นเพื่อคั่นเวลา สักวัน...
13/02/55,ทันหุ้น,คอลัมน์ จับชีพจรหุ้นร้อน
08/02/55,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
07/02/55,ทันหุ้น,"""ESTAR""คุยพันธมิตร3รายจ่อขายที่ดินระยอง600ไร่"
19/01/55,ทันหุ้น,"""ESTAR""วิ่งหาบุ๊ก0.90บาทแปลงวอร์แรนต์รับเงิน250ล."
19/12/54,ทันหุ้น,"""ESTAR"" ฟุ้งขายที่ 600 ไร่คืบ หุ้นต่ำบุ๊กวิ่งชนต้าน 0.50 บาท"
17/10/54,ทันหุ้น,ESTARพลิกวิกฤติเป็นโอกาสเจรจาขายที่ดินระยอง600ไร่
17/10/54,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
02/08/54,ทันหุ้น,เจาะโผหุ้นร้อนรัฐบาลใหม่'สื่อสาร-พลังงาน'เข้าวิน
02/08/54,ทันหุ้น,คอลัมน์ จับชีพจรหุ้นร้อน
02/08/54,ทันหุ้น,ESTARมีแววชนบุ๊ก0.92บ.ครึ่งหลังโหมเปิดโครงการพันล.
13/07/54,ทันหุ้น,"คอลัมน์ เด็กแนว ""เล่าหุ้น"""
07/07/54,ทันหุ้น,ESTARมีแววเดือดเก็ง0.70บ.เปิดโครงการใหม่1พันล.
24/06/54,ทันหุ้น,"""ESTAR""ลุยต่อเนื่องครึ่งหลังผุดโครงการใหม่เพิ่ม2แห่ง"
01/06/54,ทันหุ้น,เจาะโผหุ้นรับเลือกตั้ง'แบงก์-อสังหา'มาแรง
06/05/54,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
06/05/54,ทันหุ้น,คอลัมน์ บาดตาเซียน: หุ้น ที่สัญญาณบอกว่า 'อาจมีการฟื้น...
04/05/54,ทันหุ้น,"""ESTAR""รับอานิสงส์รัฐปล่อยกู้ชงบอร์ดเซ็นงบQ1สัปดาห์หน้า"
22/04/54,ทันหุ้น,รอจังหวะหมดรอบดอกเบี้ยขาขึ้น โบรกแนะสอยหุ้นอสังหาPERต่ำ
18/04/54,ทันหุ้น,"EMCแย้มข่าวดีเซ็น900ล.ดันรายได้โตแตะ3,000ล้าน"
01/04/54,ทันหุ้น,"""ESTAR""วิ่งฝุ่นตลบเฉียด10%ลุยเปิดโครงการใหม่4-5พันล."
28/03/54,ทันหุ้น,'EMC'มีแววฮุบงานใหม่ กำไรเริ่มเทิร์นอะราวนด์
18/03/54,ทันหุ้น,"""ESTAR""ราคาต่ำบุ๊ก0.93บ.ลุ้นขายที่ระยองพันไร่เร็วๆนี้"
25/02/54,ทันหุ้น,ESTARเทิร์นอะราวนด์ ปี53กำไร46ล้านบาท ยอดขายปีนี้2.5พันล.
27/12/53,ทันหุ้น,ESTARยอดขายปีหน้า2.5พันล.ทุ่มงบซื้อที่ดินสูง1.2พันล้านบาท
05/11/53,ทันหุ้น,ESTARจ่อปิดดีลขายที่600ไร่ปีนี้ผลงานพลิกกำไร24ล้านบ.
13/10/53,ทันหุ้น,'ESTAR'บุกงาน2หมื่นล้าน ของดีราคาต่ำบุ๊ก0.93บาท
17/09/53,ทันหุ้น,ESTARปีนี้พลิกมีกำไร24ล. ราคาเป้าต่ำกว่าบุ๊ก0.95บ.
06/09/53,ทันหุ้น,คอลัมน์ ฟันธงมาเนีย: สั้น ๆ ระวังแรงขาย สอยหุ้นเล็ก ESTAR...
06/09/53,ทันหุ้น,"มาบตาพุดดัน""ESTAR""ทุนต่างชาติจ่อซื้อที่ดิน"
25/08/53,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
25/08/53,ทันหุ้น,ESTARบุ๊กกำไรที่ดิน360ล.เทคนิคส่อทำไฮ80สตางค์
18/08/53,ทันหุ้น,"""ESTAR""ลุยเปิด2โครงการปลายปีจับตาแผนล้างขาดทุนสะสม170ล."
04/08/53,ทันหุ้น,"ถอดกลยุทธ์การลงทุน ""รัตนชัย ผาตินาวิน"""
21/07/53,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
21/07/53,ทันหุ้น,ESTARราคาห่างเป้า1.20บ. ขายที่ดินล้างขาดทุนหมด
29/06/53,ทันหุ้น,ESTARปฏิรูปสู่0.92บาท ออกศึกถล่มเป้าพันล้าน
06/05/53,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
11/03/53,ทันหุ้น,'ESTAR'คุยปี 53 รายได้ 1.8 พันล้านลั่นปีหน้าล้างขาดทุนสะสม...
02/12/52,ทันหุ้น,'ESTAR' ขายที่ดินล้านหนี้
26/08/51,ทันหุ้น,ESTARเพิ่มเป้ายอดขายโต1.2พันล.
22/05/51,ทันหุ้น,"""ESTAR"" ปรับราคาขายเพิ่ม5%"
18/03/51,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
23/05/50,ทันหุ้น,ดัชนีหุ้นไทยเริ่มทะยาน จับจังหวะเล่นวอร์แรนต์
08/05/50,ทันหุ้น,เปิดโผ10วอร์แรนต์ฝรั่งขยันซื้อRAIMON-QHสัญญาณดีสุดในกลุ่ม
23/04/50,ทันหุ้น,เปิดโผหุ้นอสังหาต่ำบุ๊กแวลูคัดเทคนิคเด่น-เก็งกำไรได้
26/02/50,ทันหุ้น,จับชีพจรหุ้นร้อน
07/12/49,ทันหุ้น,คอลัมน์ หมอดูเล่นหุ้น
23/11/49,ทันหุ้น,นายเรียนรู้
07/11/49,ทันหุ้น,นายเรียรู้: STEC
02/11/49,ทันหุ้น,จับชีพจรหุ้นร้อน
26/10/49,ทันหุ้น,จับชีพจรหุ้นร้อน
24/08/49,ทันหุ้น,คอลัมน์ หมอดูเล่นหุ้น
23/08/49,ทันหุ้น,คอลัมน์ หมอดูเล่นหุ้น
25/07/49,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
